code,locale,name,descr
et,es,Estonio,"Lengua urálica, idioma oficial de Estonia"
eu,es,Euskera,"Lengua aislada hablada en el País Vasco"
fa,es,Persa,"Lengua indoirania hablada en Irán, Afganistán y Tayikistán"
ff,es,Fula,"Lengua del África Occidental hablada por los fulani"
fi,es,Finlandés,"Lengua urálica, idioma oficial de Finlandia"
fj,es,Fiyiano,"Lengua austronesia, idioma oficial de Fiyi"
fo,es,Feroés,"Lengua germánica septentrional hablada en las Islas Feroe"
fr,es,Francés,"Lengua romance hablada en Francia, Canadá, Suiza, Bélgica y otros países"
fy,es,Frisón occidental,"Lengua germánica hablada en Frisia, Países Bajos"
ga,es,Irlandés,"Lengua celta, primer idioma oficial de Irlanda"
gd,es,Gaélico escocés,"Lengua celta hablada en Escocia, Reino Unido"
gl,es,Gallego,"Lengua romance hablada en Galicia, España"
gn,es,Guaraní,"Lengua tupí-guaraní, oficial en Paraguay"
gu,es,Guyaratí,"Idioma indoario hablado en el estado de Guyarat, India"
gv,es,Manés,"Lengua celta hablada en la Isla de Man"
ha,es,Hausa,"Lengua chádica hablada en el África Occidental"
he,es,Hebreo,"Lengua semítica, idioma oficial de Israel"
hi,es,Hindi,"Idioma indoario, idioma oficial de la India"
ho,es,Hiri motu,"Lengua oficial de Papúa Nueva Guinea"
hr,es,Croata,"Variedad estandarizada del serbocroata, oficial en Croacia"
ht,es,Criollo haitiano,"Lengua criolla basada en el francés, oficial en Haití"
hu,es,Húngaro,"Lengua urálica, idioma oficial de Hungría"
hy,es,Armenio,"Lengua indoeuropea, idioma oficial de Armenia"
hz,es,Herero,"Lengua bantú hablada en Namibia y Botsuana"
ia,es,Interlingua,"Lengua artificial basada en lenguas romances"
id,es,Indonesio,"Forma estandarizada del malayo, oficial en Indonesia"
ie,es,Interlingue,"Lengua artificial creada por Edgar de Wahl"
ig,es,Igbo,"Idioma hablado por el pueblo igbo en Nigeria"
ii,es,Yi de Sichuán,"Lengua tibeto-birmana hablada por el pueblo yi en China"
ik,es,Inupiaq,"Grupo de dialectos inuit hablados en Alaska"
io,es,Ido,"Lengua artificial derivada del esperanto"
is,es,Islandés,"Lengua germánica septentrional, idioma oficial de Islandia"
it,es,Italiano,"Lengua romance, idioma oficial de Italia, San Marino, Ciudad del Vaticano y Suiza"
iu,es,Inuktitut,"Lengua inuit hablada en el Ártico canadiense"
ja,es,Japonés,"Lengua japónica, idioma oficial de Japón"
jv,es,Javanés,"Lengua austronesia hablada en la isla de Java, Indonesia"
ka,es,Georgiano,"Lengua kartveliana, idioma oficial de Georgia"
kg,es,Kikongo,"Lengua bantú hablada en Angola, República del Congo y RDC"
ki,es,Kikuyu,"Lengua bantú hablada por el pueblo kikuyu en Kenia"
kj,es,Kuanyama,"Dialecto del ovambo hablado en Angola y Namibia"
kk,es,Kazajo,"Lengua túrquica, idioma oficial de Kazajistán"
kl,es,Groenlandés,"Lengua esquimo-aleutiana, idioma oficial de Groenlandia"
km,es,Jemer,"Lengua austroasiática, idioma oficial de Camboya"
kn,es,Canarés,"Lengua drávida hablada en el estado de Karnataka, India"
ko,es,Coreano,"Lengua aislada, idioma oficial de Corea del Norte y Corea del Sur"
kr,es,Kanuri,"Continuo dialectal hablado en Nigeria, Níger, Chad y Camerún"
ks,es,Cachemiro,"Idioma dárdico hablado en Cachemira"
ku,es,Kurdo,"Continuo dialectal de lenguas indoiranias habladas por los kurdos"
kv,es,Komi,"Lengua urálica hablada por el pueblo komi en Rusia"
kw,es,Córnico,"Lengua celta revitalizada hablada en Cornualles, Reino Unido"
ky,es,Kirguís,"Lengua túrquica, idioma oficial de Kirguistán"
la,es,Latín,"Lengua itálica extinta, precursora de las lenguas romances"
lb,es,Luxemburgués,"Lengua germánica occidental, idioma oficial de Luxemburgo"
lg,es,Luganda,"Lengua bantú hablada en Uganda"
li,es,Limburgués,"Grupo de lenguas francónicas habladas en los Países Bajos, Bélgica y Alemania"
ln,es,Lingala,"Lengua bantú hablada en la República Democrática del Congo y la República del Congo"
lo,es,Lao,"Lengua tai-kadai, idioma oficial de Laos"
lt,es,Lituano,"Lengua báltica, idioma oficial de Lituania"
lu,es,Luba-katanga,"Lengua bantú hablada en la República Democrática del Congo"
lv,es,Letón,"Lengua báltica, idioma oficial de Letonia"
mg,es,Malgache,"Lengua austronesia, idioma oficial de Madagascar"
mh,es,Marshalés,"Lengua malayo-polinesia, idioma oficial de las Islas Marshall"
mi,es,Maorí,"Lengua polinesia, idioma oficial de Nueva Zelanda"
mk,es,Macedonio,"Lengua eslava meridional, idioma oficial de Macedonia del Norte"
ml,es,Malayalam,"Lengua drávida hablada en el estado de Kerala, India"
mn,es,Mongol,"Lengua mongólica, idioma oficial de Mongolia"
mr,es,Maratí,"Idioma indoario hablado en el estado de Maharashtra, India"
ms,es,Malayo,"Lengua austronesia hablada en Malasia, Indonesia, Brunéi y Singapur"
mt,es,Maltés,"Lengua semítica, idioma oficial de Malta"
my,es,Birmano,"Lengua sino-tibetana, idioma oficial de Myanmar"
na,es,Nauruano,"Lengua micronesia, idioma oficial de Nauru"
nb,es,Bokmål noruego,"Uno de los dos estándares de escritura del noruego"
nd,es,Ndebele del norte,"Lengua nguni hablada en Zimbabue"
ne,es,Nepalí,"Idioma indoario, idioma oficial de Nepal"
ng,es,Ndonga,"Dialecto del ovambo hablado en Namibia"
nl,es,Neerlandés,"Lengua germánica occidental hablada en los Países Bajos, Bélgica y Surinam"
nn,es,Nynorsk noruego,"Uno de los dos estándares de escritura del noruego"
no,es,Noruego,"Lengua germánica septentrional, idioma oficial de Noruega"
nr,es,Ndebele del sur,"Lengua nguni hablada en Sudáfrica"
nv,es,Navajo,"Lengua na-dené hablada por el pueblo navajo en el suroeste de EE. UU."
ny,es,Chichewa,"Lengua bantú hablada en Malaui"
oc,es,Occitano,"Lengua romance hablada en el sur de Francia, Italia y España"
oj,es,Ojibwa,"Continuo dialectal de lenguas algonquinas en Canadá y EE. UU."
om,es,Oromo,"Lengua cushita hablada en Etiopía y Kenia"
or,es,Oriya,"Idioma indoario hablado en el estado de Odisha, India"
os,es,Osetio,"Lengua irania hablada en Osetia, en el Cáucaso"
pa,es,Panyabí,"Idioma indoario hablado en la región de Punyab"
pi,es,Pali,"Antiguo idioma prácrito, lengua litúrgica del budismo theravada"
pl,es,Polaco,"Lengua eslava occidental, idioma oficial de Polonia"
ps,es,Pastún,"Lengua irania, uno de los idiomas oficiales de Afganistán"
pt,es,Portugués,"Lengua romance hablada en Portugal, Brasil, Angola, Mozambique, entre otros"
qu,es,Quechua,"Familia de lenguas originarias de los Andes"
rm,es,Romanche,"Lengua romance, uno de los cuatro idiomas oficiales de Suiza"
rn,es,Kirundi,"Lengua bantú, idioma oficial de Burundi"
ro,es,Rumano,"Lengua romance, idioma oficial de Rumania y Moldavia"
ru,es,Ruso,"Lengua eslava oriental, idioma oficial de Rusia y otros países"
rw,es,Kinyarwanda,"Lengua bantú, idioma oficial de Ruanda"
sa,es,Sánscrito,"Antigua lengua indoaria, lengua litúrgica del hinduismo, budismo y jainismo"
sc,es,Sardo,"Lengua romance hablada en Cerdeña, Italia"
sd,es,Sindhi,"Idioma indoario hablado en la provincia de Sind, Pakistán"
se,es,Sami septentrional,"Lengua sami más hablada, en el norte de Escandinavia"
sg,es,Sango,"Lengua criolla, idioma oficial de la República Centroafricana"
si,es,Cingalés,"Idioma indoario, uno de los idiomas oficiales de Sri Lanka"
sk,es,Eslovaco,"Lengua eslava occidental, idioma oficial de Eslovaquia"
sl,es,Esloveno,"Lengua eslava meridional, idioma oficial de Eslovenia"
sm,es,Samoano,"Lengua polinesia, idioma oficial de Samoa"
sn,es,Shona,"Lengua bantú hablada por el pueblo shona en Zimbabue"
so,es,Somalí,"Lengua cushita, idioma oficial de Somalia"
sq,es,Albanés,"Lengua indoeuropea, idioma oficial de Albania y Kosovo"
sr,es,Serbio,"Variedad estandarizada del serbocroata, oficial en Serbia"
ss,es,Swati,"Lengua bantú, uno de los idiomas oficiales de Esuatini y Sudáfrica"
st,es,Sesotho,"Lengua bantú, idioma oficial de Lesoto y Sudáfrica"
su,es,Sundanés,"Lengua malayo-polinesia hablada en la parte occidental de Java"
sv,es,Sueco,"Lengua germánica septentrional, idioma oficial de Suecia y Finlandia"
sw,es,Suajili,"Lengua bantú hablada en el África Oriental"
ta,es,Tamil,"Lengua drávida hablada en el sur de la India, Sri Lanka y Singapur"
te,es,Télugu,"Lengua drávida hablada en los estados de Andhra Pradesh y Telangana, India"
tg,es,Tayiko,"Variedad del persa, idioma oficial de Tayikistán"
th,es,Tailandés,"Lengua tai-kadai, idioma oficial de Tailandia"
ti,es,Tigriña,"Lengua semítica hablada en Eritrea y Etiopía"
tk,es,Turcomano,"Lengua túrquica, idioma oficial de Turkmenistán"
tl,es,Tagalo,"Lengua austronesia, base del idioma filipino"
tn,es,Setsuana,"Lengua bantú, idioma oficial de Botsuana"
to,es,Tongano,"Lengua polinesia, idioma oficial de Tonga"
tr,es,Turco,"Lengua túrquica, idioma oficial de Turquía y Chipre"
ts,es,Tsonga,"Lengua bantú hablada en el sur de África"
tt,es,Tártaro,"Lengua túrquica hablada por los tártaros"
tw,es,Twi,"Dialecto del akan hablado en Ghana"
ty,es,Tahitiano,"Lengua polinesia hablada en Tahití"
ug,es,Uigur,"Lengua túrquica hablada por los uigures en Asia Central"
uk,es,Ucraniano,"Lengua eslava oriental, idioma oficial de Ucrania"
ur,es,Urdu,"Idioma indoario, idioma oficial de Pakistán y cooficial en varios estados de la India"
uz,es,Uzbeko,"Lengua túrquica, idioma oficial de Uzbekistán"
ve,es,Venda,"Lengua bantú, uno de los idiomas oficiales de Sudáfrica"
vi,es,Vietnamita,"Lengua austroasiática, idioma oficial de Vietnam"
vo,es,Volapük,"Lengua artificial creada por Johann Martin Schleyer"
wa,es,Valón,"Lengua romance hablada en Valonia, Bélgica"
wo,es,Wolof,"Lengua senegambiana hablada en Senegal, Gambia y Mauritania"
xh,es,Xhosa,"Lengua nguni, uno de los idiomas oficiales de Sudáfrica"
yi,es,Yidis,"Lengua germánica hablada por judíos asquenazíes"
yo,es,Yoruba,"Lengua hablada en África Occidental, principalmente en Nigeria"
za,es,Zhuang,"Grupo de lenguas tai habladas por el pueblo zhuang en el sur de China"
zh,es,Chino,"Macrolengua sino-tibetana que abarca diversos dialectos"
zu,es,Zulú,"Lengua nguni, uno de los idiomas oficiales de Sudáfrica"
aa,de,Afar,"Sprache, die am Horn von Afrika gesprochen wird"
ab,de,Abchasisch,"Kaukasische Sprache, die in Abchasien gesprochen wird"
ae,de,Avestisch,"Altiranische Sprache, liturgische Sprache des Zoroastrismus"
af,de,Afrikaans,"Germanische Sprache, die in Südafrika und Namibia gesprochen wird"
ak,de,Akan,"Kwa-Sprache, die in Ghana und der Elfenbeinküste gesprochen wird"
am,de,Amharisch,"Semitische Sprache, Amtssprache von Äthiopien"
an,de,Aragonesisch,"Romanische Sprache, die in Aragon, Spanien, gesprochen wird"
ar,de,Arabisch,"Semitische Sprache, die in der gesamten arabischen Welt gesprochen wird"
as,de,Assamesisch,"Indoarische Sprache, die im indischen Bundesstaat Assam gesprochen wird"
av,de,Awarisch,"Kaukasische Sprache, die in Dagestan, Russland, gesprochen wird"
ay,de,Aymara,"Sprache, die vom Aymara-Volk in den Anden gesprochen wird"
az,de,Aserbaidschanisch,"Turksprache, die in Aserbaidschan und im Iran gesprochen wird"
ba,de,Baschkirisch,"Turksprache, die in Baschkortostan, Russland, gesprochen wird"
be,de,Weißrussisch,"Ostslawische Sprache, Amtssprache von Belarus"
bg,de,Bulgarisch,"Südslawische Sprache, Amtssprache von Bulgarien"
bh,de,Bihari,"Indoarische Sprache, die in Nordindien und Nepal gesprochen wird"
bi,de,Bislama,"Englisch-basierte Kreolsprache, Amtssprache in Vanuatu"
bm,de,Bambara,"Mande-Sprache, die in Mali gesprochen wird"
bn,de,Bengalisch,"Indoarische Sprache, die in Bangladesch und Westbengalen, Indien, gesprochen wird"
bo,de,Tibetisch,"Tibeto-birmanische Sprache, die in der Region Tibet gesprochen wird"
br,de,Bretonisch,"Keltische Sprache, die in der Bretagne, Frankreich, gesprochen wird"
bs,de,Bosnisch,"Standardisierte Varietät des Serbokroatischen, Amtssprache in Bosnien und Herzegowina"
ca,de,Katalanisch,"Romanische Sprache, die in Katalonien, der Valencianischen Gemeinschaft, den Balearen und Andorra gesprochen wird"
ce,de,Tschetschenisch,"Kaukasische Sprache, die in Tschetschenien, Russland, gesprochen wird"
ch,de,Chamorro,"Malayo-polynesische Sprache, die auf den Marianen gesprochen wird"
co,de,Korsisch,"Romanische Sprache, die auf Korsika, Frankreich, gesprochen wird"
cr,de,Cree,"Dialektkontinuum der Algonkin-Sprachen in Kanada"
cs,de,Tschechisch,"Westslawische Sprache, Amtssprache der Tschechischen Republik"
cu,de,Altkirchenslawisch,"Älteste bezeugte slawische Sprache, liturgische Sprache der slawisch-orthodoxen Kirche"
cv,de,Tschuwaschisch,"Turksprache, die in Tschuwaschien, Russland, gesprochen wird"
cy,de,Walisisch,"Keltische Sprache, die in Wales, Vereinigtes Königreich, gesprochen wird"
da,de,Dänisch,"Nordgermanische Sprache, Amtssprache von Dänemark"
de,de,Deutsch,"Westgermanische Sprache, Amtssprache unter anderem in Deutschland, Österreich, Schweiz"
dv,de,Dhivehi,"Indoarische Sprache, Amtssprache auf den Malediven"
dz,de,Dzongkha,"Sinotibetische Sprache, Amtssprache von Bhutan"
ee,de,Ewe,"Kwa-Sprache, die in Ghana und Togo gesprochen wird"
el,de,Griechisch,"Hellenische Sprache, Amtssprache von Griechenland und Zypern"
en,de,Englisch,"Westgermanische Sprache, weltweit gesprochen"
eo,de,Esperanto,"Meistgesprochene internationale Plansprache"
es,de,Spanisch,"Romanische Sprache, zweitmeistgesprochene Muttersprache der Welt"
et,de,Estnisch,"Uralische Sprache, Amtssprache von Estland"
eu,de,Baskisch,"Isolierte Sprache, die im Baskenland gesprochen wird"
fa,de,Persisch,"Indoiranische Sprache, die im Iran, in Afghanistan und Tadschikistan gesprochen wird"
ff,de,Ful,"Westafrikanische Sprache, die von den Fulani gesprochen wird"
fi,de,Finnisch,"Uralische Sprache, Amtssprache von Finnland"
fj,de,Fidschianisch,"Austronesische Sprache, Amtssprache von Fidschi"
fo,de,Färöisch,"Nordgermanische Sprache, die auf den Färöer-Inseln gesprochen wird"
fr,de,Französisch,"Romanische Sprache, gesprochen in Frankreich, Kanada, der Schweiz, Belgien und anderen Ländern"
fy,de,Westfriesisch,"Germanische Sprache, die in Friesland, Niederlande, gesprochen wird"
ga,de,Irisch,"Keltische Sprache, erste Amtssprache Irlands"
gd,de,Schottisch-Gälisch,"Keltische Sprache, die in Schottland, Vereinigtes Königreich, gesprochen wird"
gl,de,Galicisch,"Romanische Sprache, die in Galicien, Spanien, gesprochen wird"
gn,de,Guaraní,"Tupi-Guarani-Sprache, Amtssprache in Paraguay"
gu,de,Gujarati,"Indoarische Sprache, die im indischen Bundesstaat Gujarat gesprochen wird"
gv,de,Manx,"Keltische Sprache, die auf der Isle of Man gesprochen wird"
ha,de,Hausa,"Tschadische Sprache, die in Westafrika gesprochen wird"
he,de,Hebräisch,"Semitische Sprache, Amtssprache Israels"
hi,de,Hindi,"Indoarische Sprache, eine Amtssprache Indiens"
ho,de,Hiri Motu,"Amtssprache von Papua-Neuguinea"
hr,de,Kroatisch,"Standardisierte Varietät des Serbokroatischen, Amtssprache in Kroatien"
ht,de,Haitianisch-Kreolisch,"Französisch-basierte Kreolsprache, Amtssprache in Haiti"
hu,de,Ungarisch,"Uralische Sprache, Amtssprache von Ungarn"
hy,de,Armenisch,"Indoeuropäische Sprache, Amtssprache von Armenien"
hz,de,Herero,"Bantusprache, die in Namibia und Botswana gesprochen wird"
ia,de,Interlingua,"Plansprache basierend auf romanischen Sprachen"
id,de,Indonesisch,"Standardisierte Form des Malaiischen, Amtssprache in Indonesien"
ie,de,Interlingue,"Plansprache, geschaffen von Edgar de Wahl"
ig,de,Igbo,"Sprache, die vom Igbo-Volk in Nigeria gesprochen wird"
ii,de,Sichuan Yi,"Tibeto-birmanische Sprache, die vom Yi-Volk in China gesprochen wird"
ik,de,Inupiaq,"Gruppe von Inuit-Dialekten, die in Alaska gesprochen werden"
io,de,Ido,"Vom Esperanto abgeleitete Plansprache"
is,de,Isländisch,"Nordgermanische Sprache, Amtssprache von Island"
it,de,Italienisch,"Romanische Sprache, Amtssprache von Italien, San Marino, Vatikanstadt und der Schweiz"
iu,de,Inuktitut,"Inuit-Sprache, die in der kanadischen Arktis gesprochen wird"
ja,de,Japanisch,"Japonische Sprache, Amtssprache von Japan"
jv,de,Javanisch,"Austronesische Sprache, die auf der Insel Java, Indonesien, gesprochen wird"
ka,de,Georgisch,"Kartwelische Sprache, Amtssprache von Georgien"
kg,de,Kikongo,"Bantusprache, die in Angola, der Republik Kongo und der DR Kongo gesprochen wird"
ki,de,Kikuyu,"Bantusprache, die vom Kikuyu-Volk in Kenia gesprochen wird"
kj,de,Kwanyama,"Dialekt des Ovambo, der in Angola und Namibia gesprochen wird"
kk,de,Kasachisch,"Turksprache, Amtssprache von Kasachstan"
kl,de,Kalaallisut,"Eskimo-aleutische Sprache, Amtssprache von Grönland"
km,de,Khmer,"Austroasiatische Sprache, Amtssprache von Kambodscha"
kn,de,Kannada,"Dravidische Sprache, die im indischen Bundesstaat Karnataka gesprochen wird"
ko,de,Koreanisch,"Isolierte Sprache, Amtssprache von Nord- und Südkorea"
kr,de,Kanuri,"Dialektkontinuum, das in Nigeria, Niger, Tschad und Kamerun gesprochen wird"
ks,de,Kashmiri,"Dardische Sprache, die in Kaschmir gesprochen wird"
ku,de,Kurdisch,"Dialektkontinuum indoiranischer Sprachen, das von den Kurden gesprochen wird"
kv,de,Komi,"Uralische Sprache, die vom Komi-Volk in Russland gesprochen wird"
kw,de,Kornisch,"Wiederbelebte keltische Sprache, die in Cornwall, Vereinigtes Königreich, gesprochen wird"
ky,de,Kirgisisch,"Turksprache, Amtssprache von Kirgisistan"
la,de,Latein,"Ausgestorbene italische Sprache, Vorläufer der romanischen Sprachen"
lb,de,Luxemburgisch,"Westgermanische Sprache, Amtssprache von Luxemburg"
lg,de,Ganda,"Bantusprache, die in Uganda gesprochen wird"
li,de,Limburgisch,"Gruppe fränkischer Sprachen, die in den Niederlanden, Belgien und Deutschland gesprochen werden"
ln,de,Lingala,"Bantusprache, die in der Demokratischen Republik Kongo und der Republik Kongo gesprochen wird"
lo,de,Laotisch,"Tai-Kadai-Sprache, Amtssprache von Laos"
lt,de,Litauisch,"Baltische Sprache, Amtssprache von Litauen"
lu,de,Luba-Katanga,"Bantusprache, die in der Demokratischen Republik Kongo gesprochen wird"
lv,de,Lettisch,"Baltische Sprache, Amtssprache von Lettland"
mg,de,Malagasy,"Austronesische Sprache, Amtssprache von Madagaskar"
mh,de,Marshallesisch,"Malayo-polynesische Sprache, Amtssprache der Marshallinseln"
mi,de,Maori,"Polynesische Sprache, eine Amtssprache Neuseelands"
mk,de,Mazedonisch,"Südslawische Sprache, Amtssprache von Nordmazedonien"
ml,de,Malayalam,"Dravidische Sprache, die im indischen Bundesstaat Kerala gesprochen wird"
mn,de,Mongolisch,"Mongolische Sprache, Amtssprache der Mongolei"
mr,de,Marathi,"Indoarische Sprache, die im indischen Bundesstaat Maharashtra gesprochen wird"
ms,de,Malaiisch,"Austronesische Sprache, die in Malaysia, Indonesien, Brunei und Singapur gesprochen wird"
mt,de,Maltesisch,"Semitische Sprache, Amtssprache von Malta"
my,de,Birmanisch,"Sinotibetische Sprache, Amtssprache von Myanmar"
na,de,Nauruisch,"Mikronesische Sprache, Amtssprache von Nauru"
nb,de,Norwegisch Bokmål,"Einer von zwei Schriftstandards für Norwegisch"
nd,de,Nord-Ndebele,"Nguni-Sprache, die in Simbabwe gesprochen wird"
ne,de,Nepali,"Indoarische Sprache, Amtssprache von Nepal"
ng,de,Ndonga,"Dialekt des Ovambo, der in Namibia gesprochen wird"
nl,de,Niederländisch,"Westgermanische Sprache, die in den Niederlanden, Belgien und Suriname gesprochen wird"
nn,de,Norwegisch Nynorsk,"Einer von zwei Schriftstandards für Norwegisch"
no,de,Norwegisch,"Nordgermanische Sprache, Amtssprache von Norwegen"
nr,de,Süd-Ndebele,"Nguni-Sprache, die in Südafrika gesprochen wird"
nv,de,Navajo,"Na-Dené-Sprache, die vom Navajo-Volk im Südwesten der USA gesprochen wird"
ny,de,Chewa,"Bantusprache, die in Malawi gesprochen wird"
oc,de,Okzitanisch,"Romanische Sprache, die in Südfrankreich, Italien und Spanien gesprochen wird"
oj,de,Ojibwe,"Dialektkontinuum der Algonkin-Sprachen in Kanada und den USA"
om,de,Oromo,"Kuschitische Sprache, die in Äthiopien und Kenia gesprochen wird"
or,de,Oriya,"Indoarische Sprache, die im indischen Bundesstaat Odisha gesprochen wird"
os,de,Ossetisch,"Iranische Sprache, die in Ossetien im Kaukasus gesprochen wird"
pa,de,Panjabi,"Indoarische Sprache, die in der Region Punjab gesprochen wird"
pi,de,Pali,"Alte Prakrit-Sprache, liturgische Sprache des Theravada-Buddhismus"
pl,de,Polnisch,"Westslawische Sprache, Amtssprache von Polen"
ps,de,Paschtu,"Iranische Sprache, eine der Amtssprachen Afghanistans"
pt,de,Portugiesisch,"Romanische Sprache, gesprochen unter anderem in Portugal, Brasilien, Angola, Mosambik"
qu,de,Quechua,"Familie von Sprachen, die in den Anden beheimatet sind"
rm,de,Rätoromanisch,"Romanische Sprache, eine der vier Amtssprachen der Schweiz"
rn,de,Rundi,"Bantusprache, Amtssprache von Burundi"
ro,de,Rumänisch,"Romanische Sprache, Amtssprache von Rumänien und Moldawien"
ru,de,Russisch,"Ostslawische Sprache, Amtssprache von Russland und anderen Ländern"
rw,de,Kinyarwanda,"Bantusprache, Amtssprache von Ruanda"
sa,de,Sanskrit,"Alte indoarische Sprache, liturgische Sprache des Hinduismus, Buddhismus und Jainismus"
sc,de,Sardisch,"Romanische Sprache, die auf Sardinien, Italien, gesprochen wird"
sd,de,Sindhi,"Indoarische Sprache, die in der Provinz Sindh, Pakistan, gesprochen wird"
se,de,Nordsamisch,"Meistgesprochene samische Sprache im Norden Skandinaviens"
sg,de,Sango,"Kreolsprache, Amtssprache der Zentralafrikanischen Republik"
si,de,Singhalesisch,"Indoarische Sprache, eine der Amtssprachen Sri Lankas"
sk,de,Slowakisch,"Westslawische Sprache, Amtssprache der Slowakei"
sl,de,Slowenisch,"Südslawische Sprache, Amtssprache von Slowenien"
sm,de,Samoanisch,"Polynesische Sprache, Amtssprache von Samoa"
sn,de,Shona,"Bantusprache, die vom Shona-Volk in Simbabwe gesprochen wird"
so,de,Somali,"Kuschitische Sprache, Amtssprache von Somalia"
sq,de,Albanisch,"Indoeuropäische Sprache, Amtssprache von Albanien und Kosovo"
sr,de,Serbisch,"Standardisierte Varietät des Serbokroatischen, Amtssprache in Serbien"
ss,de,Swati,"Bantusprache, eine Amtssprache von Eswatini und Südafrika"
st,de,Süd-Sotho,"Bantusprache, Amtssprache von Lesotho und Südafrika"
su,de,Sundanesisch,"Malayo-polynesische Sprache, die im westlichen Teil von Java gesprochen wird"
sv,de,Schwedisch,"Nordgermanische Sprache, Amtssprache von Schweden und Finnland"
sw,de,Swahili,"Bantusprache, die in Ostafrika gesprochen wird"
ta,de,Tamil,"Dravidische Sprache, die in Südindien, Sri Lanka und Singapur gesprochen wird"
te,de,Telugu,"Dravidische Sprache, die in den indischen Bundesstaaten Andhra Pradesh und Telangana gesprochen wird"
tg,de,Tadschikisch,"Varietät des Persischen, Amtssprache von Tadschikistan"
th,de,Thailändisch,"Tai-Kadai-Sprache, Amtssprache von Thailand"
ti,de,Tigrinya,"Semitische Sprache, die in Eritrea und Äthiopien gesprochen wird"
tk,de,Turkmenisch,"Turksprache, Amtssprache von Turkmenistan"
tl,de,Tagalog,"Austronesische Sprache, die Grundlage der philippinischen Sprache"
tn,de,Tswana,"Bantusprache, Amtssprache von Botswana"
to,de,Tongaisch,"Polynesische Sprache, Amtssprache von Tonga"
tr,de,Türkisch,"Turksprache, Amtssprache der Türkei und Zyperns"
ts,de,Tsonga,"Bantusprache, die im südlichen Afrika gesprochen wird"
tt,de,Tatarisch,"Turksprache, die von den Tataren gesprochen wird"
tw,de,Twi,"Dialekt des Akan, der in Ghana gesprochen wird"
ty,de,Tahitisch,"Polynesische Sprache, die in Tahiti gesprochen wird"
ug,de,Uigurisch,"Turksprache, die vom uigurischen Volk in Zentralasien gesprochen wird"
uk,de,Ukrainisch,"Ostslawische Sprache, Amtssprache der Ukraine"
ur,de,Urdu,"Indoarische Sprache, Amtssprache Pakistans und kooffiziell in mehreren indischen Bundesstaaten"
uz,de,Usbekisch,"Turksprache, Amtssprache von Usbekistan"
ve,de,Venda,"Bantusprache, eine Amtssprache Südafrikas"
