code,name,descr
iu,Inuktitut,"Inuit language spoken in the Canadian Arctic"
ja,Japanese,"Japonic language, official language of Japan"
jv,Javanese,"Austronesian language spoken on the island of Java, Indonesia"
ka,Georgian,"Kartvelian language, official language of Georgia"
kg,Kongo,"Bantu language spoken in Angola, Republic of the Congo, and DRC"
ki,Kikuyu,"Bantu language spoken by the Kikuyu people in Kenya"
kj,Kuanyama,"Dialect of Ovambo spoken in Angola and Namibia"
kk,Kazakh,"Turkic language, official language of Kazakhstan"
kl,Kalaallisut,"Eskimo-Aleut language, official language of Greenland"
km,Khmer,"Austroasiatic language, official language of Cambodia"
kn,Kannada,"Dravidian language spoken in the state of Karnataka, India"
ko,Korean,"Language isolate, official language of North and South Korea"
kr,Kanuri,"Dialect continuum spoken in Nigeria, Niger, Chad, and Cameroon"
ks,Kashmiri,"Dardic language spoken in Kashmir"
ku,Kurdish,"Dialect continuum of Indo-Iranian languages spoken by the Kurds"
kv,Komi,"Uralic language spoken by the Komi people in Russia"
kw,Cornish,"Revived Celtic language spoken in Cornwall, United Kingdom"
ky,Kyrgyz,"Turkic language, official language of Kyrgyzstan"
la,Latin,"Extinct Italic language, precursor to Romance languages"
lb,Luxembourgish,"West Germanic language, official language of Luxembourg"
lg,Ganda,"Bantu language spoken in Uganda"
li,Limburgish,"Group of Franconian languages spoken in the Netherlands, Belgium, and Germany"
ln,Lingala,"Bantu language spoken in the Democratic Republic of the Congo and the Republic of the Congo"
lo,Lao,"Tai-Kadai language, official language of Laos"
lt,Lithuanian,"Baltic language, official language of Lithuania"
lu,Luba-Katanga,"Bantu language spoken in the Democratic Republic of the Congo"
lv,Latvian,"Baltic language, official language of Latvia"
mg,Malagasy,"Austronesian language, official language of Madagascar"
mh,Marshallese,"Malayo-Polynesian language, official language of the Marshall Islands"
mi,Maori,"Polynesian language, an official language of New Zealand"
mk,Macedonian,"South Slavic language, official language of North Macedonia"
ml,Malayalam,"Dravidian language spoken in the state of Kerala, India"
mn,Mongolian,"Mongolic language, official language of Mongolia"
mr,Marathi,"Indo-Aryan language spoken in the state of Maharashtra, India"
ms,Malay,"Austronesian language spoken in Malaysia, Indonesia, Brunei, and Singapore"
mt,Maltese,"Semitic language, official language of Malta"
my,Burmese,"Sino-Tibetan language, official language of Myanmar"
na,Nauruan,"Micronesian language, official language of Nauru"
nb,Norwegian Bokmål,"One of two written standards for Norwegian"
nd,Northern Ndebele,"Nguni language spoken in Zimbabwe"
ne,Nepali,"Indo-Aryan language, official language of Nepal"
ng,Ndonga,"Dialect of Ovambo spoken in Namibia"
nl,Dutch,"West Germanic language spoken in the Netherlands, Belgium, and Suriname"
nn,Norwegian Nynorsk,"One of two written standards for Norwegian"
no,Norwegian,"North Germanic language, official language of Norway"
nr,Southern Ndebele,"Nguni language spoken in South Africa"
nv,Navajo,"Na-Dené language spoken by the Navajo people in the southwestern U.S."
ny,Chewa,"Bantu language spoken in Malawi"
oc,Occitan,"Romance language spoken in Southern France, Italy, and Spain"
oj,Ojibwe,"Dialect continuum of Algonquian languages in Canada and the U.S."
om,Oromo,"Cushitic language spoken in Ethiopia and Kenya"
or,Oriya,"Indo-Aryan language spoken in the state of Odisha, India"
os,Ossetian,"Iranian language spoken in Ossetia, in the Caucasus"
pa,Punjabi,"Indo-Aryan language spoken in the Punjab region"
pi,Pali,"Ancient Prakrit language, liturgical language of Theravada Buddhism"
pl,Polish,"West Slavic language, official language of Poland"
ps,Pashto,"Iranian language, one of the official languages of Afghanistan"
pt,Portuguese,"Romance language spoken in Portugal, Brazil, Angola, Mozambique, among others"
qu,Quechua,"Family of languages native to the Andes"
rm,Romansh,"Romance language, one of the four official languages of Switzerland"
rn,Rundi,"Bantu language, official language of Burundi"
ro,Romanian,"Romance language, official language of Romania and Moldova"
ru,Russian,"East Slavic language, official language of Russia and other countries"
rw,Kinyarwanda,"Bantu language, official language of Rwanda"
sa,Sanskrit,"Ancient Indo-Aryan language, liturgical language of Hinduism, Buddhism, and Jainism"
sc,Sardinian,"Romance language spoken in Sardinia, Italy"
sd,Sindhi,"Indo-Aryan language spoken in the province of Sindh, Pakistan"
se,Northern Sami,"Most widely spoken Sami language, in northern Scandinavia"
sg,Sango,"Creole language, official language of the Central African Republic"
si,Sinhala,"Indo-Aryan language, one of the official languages of Sri Lanka"
sk,Slovak,"West Slavic language, official language of Slovakia"
sl,Slovenian,"South Slavic language, official language of Slovenia"
sm,Samoan,"Polynesian language, official language of Samoa"
sn,Shona,"Bantu language spoken by the Shona people in Zimbabwe"
so,Somali,"Cushitic language, official language of Somalia"
sq,Albanian,"Indo-European language, official language of Albania and Kosovo"
sr,Serbian,"Standardized variety of Serbo-Croatian, official in Serbia"
ss,Swati,"Bantu language, an official language of Eswatini and South Africa"
st,Southern Sotho,"Bantu language, official language of Lesotho and South Africa"
su,Sundanese,"Malayo-Polynesian language spoken in the western part of Java"
sv,Swedish,"North Germanic language, official language of Sweden and Finland"
sw,Swahili,"Bantu language spoken in East Africa"
ta,Tamil,"Dravidian language spoken in Southern India, Sri Lanka, and Singapore"
te,Telugu,"Dravidian language spoken in the states of Andhra Pradesh and Telangana, India"
tg,Tajik,"Variety of Persian, official language of Tajikistan"
th,Thai,"Tai-Kadai language, official language of Thailand"
ti,Tigrinya,"Semitic language spoken in Eritrea and Ethiopia"
tk,Turkmen,"Turkic language, official language of Turkmenistan"
tl,Tagalog,"Austronesian language, the basis of the Filipino language"
tn,Tswana,"Bantu language, official language of Botswana"
to,Tongan,"Polynesian language, official language of Tonga"
tr,Turkish,"Turkic language, official language of Turkey and Cyprus"
ts,Tsonga,"Bantu language spoken in Southern Africa"
tt,Tatar,"Turkic language spoken by the Tatars"
tw,Twi,"Dialect of Akan spoken in Ghana"
ty,Tahitian,"Polynesian language spoken in Tahiti"
ug,Uyghur,"Turkic language spoken by the Uyghur people in Central Asia"
uk,Ukrainian,"East Slavic language, official language of Ukraine"
ur,Urdu,"Indo-Aryan language, official language of Pakistan and co-official in several Indian states"
uz,Uzbek,"Turkic language, official language of Uzbekistan"
ve,Venda,"Bantu language, an official language of South Africa"
vi,Vietnamese,"Austroasiatic language, official language of Vietnam"
vo,Volapük,"Constructed language created by Johann Martin Schleyer"
wa,Walloon,"Romance language spoken in Wallonia, Belgium"
wo,Wolof,"Senegambian language spoken in Senegal, Gambia, and Mauritania"
xh,Xhosa,"Nguni language, an official language of South Africa"
yi,Yiddish,"Germanic language spoken by Ashkenazi Jews"
yo,Yoruba,"Language spoken in West Africa, primarily in Nigeria"
za,Zhuang,"Group of Tai languages spoken by the Zhuang people in southern China"
zh,Chinese,"Sino-Tibetan macrolanguage comprising various dialects"
zu,Zulu,"Nguni language, an official language of South Africa"
