code,locale,name,descr
JMD,es,Dólar jamaicano,"Moneda oficial de Jamaica"
JOD,es,Dinar jordano,"Moneda oficial de Jordania"
JPY,es,Yen japonés,"Moneda oficial de Japón"
KES,es,Chelín keniano,"Moneda oficial de Kenia"
KGS,es,Som kirguís,"Moneda oficial de Kirguistán"
KHR,es,Riel camboyano,"Moneda oficial de Camboya"
KMF,es,Franco comorense,"Moneda oficial de las Comoras"
KPW,es,Won norcoreano,"Moneda oficial de Corea del Norte"
KRW,es,Won surcoreano,"Moneda oficial de Corea del Sur"
KWD,es,Dinar kuwaití,"Moneda oficial de Kuwait"
KYD,es,Dólar de las Islas Caimán,"Moneda oficial de las Islas Caimán"
KZT,es,Tenge kazajo,"Moneda oficial de Kazajistán"
LAK,es,Kip laosiano,"Moneda oficial de Laos"
LBP,es,Libra libanesa,"Moneda oficial del Líbano"
LKR,es,Rupia de Sri Lanka,"Moneda oficial de Sri Lanka"
LRD,es,Dólar liberiano,"Moneda oficial de Liberia"
LSL,es,Loti de Lesoto,"Moneda oficial de Lesoto"
LYD,es,Dinar libio,"Moneda oficial de Libia"
MAD,es,Dírham marroquí,"Moneda oficial de Marruecos"
MDL,es,Leu moldavo,"Moneda oficial de Moldavia"
MGA,es,Ariary malgache,"Moneda oficial de Madagascar"
MKD,es,Denar macedonio,"Moneda oficial de Macedonia del Norte"
MMK,es,Kyat birmano,"Moneda oficial de Myanmar"
MNT,es,Tugrik mongol,"Moneda oficial de Mongolia"
MOP,es,Pataca de Macao,"Moneda oficial de Macao"
MRU,es,Ouguiya mauritana,"Moneda oficial de Mauritania"
MUR,es,Rupia de Mauricio,"Moneda oficial de Mauricio"
MVR,es,Rufiyaa de Maldivas,"Moneda oficial de Maldivas"
MWK,es,Kwacha malauí,"Moneda oficial de Malaui"
MXN,es,Peso mexicano,"Moneda oficial de México"
MYR,es,Ringgit malayo,"Moneda oficial de Malasia"
MZN,es,Metical mozambiqueño,"Moneda oficial de Mozambique"
NAD,es,Dólar de Namibia,"Moneda oficial de Namibia"
NGN,es,Naira nigeriana,"Moneda oficial de Nigeria"
NIO,es,Córdoba nicaragüense,"Moneda oficial de Nicaragua"
NOK,es,Corona noruega,"Moneda oficial de Noruega"
NPR,es,Rupia nepalí,"Moneda oficial de Nepal"
NZD,es,Dólar neozelandés,"Moneda oficial de Nueva Zelanda y sus territorios"
OMR,es,Rial omaní,"Moneda oficial de Omán"
PAB,es,Balboa panameño,"Moneda oficial de Panamá"
PEN,es,Sol peruano,"Moneda oficial de Perú"
PGK,es,Kina de Papúa Nueva Guinea,"Moneda oficial de Papúa Nueva Guinea"
PHP,es,Peso filipino,"Moneda oficial de Filipinas"
PKR,es,Rupia pakistaní,"Moneda oficial de Pakistán"
PLN,es,Złoty polaco,"Moneda oficial de Polonia"
PYG,es,Guaraní paraguayo,"Moneda oficial de Paraguay"
QAR,es,Rial catarí,"Moneda oficial de Catar"
RON,es,Leu rumano,"Moneda oficial de Rumania"
RSD,es,Dinar serbio,"Moneda oficial de Serbia"
RUB,es,Rublo ruso,"Moneda oficial de Rusia"
RWF,es,Franco ruandés,"Moneda oficial de Ruanda"
SAR,es,Riyal saudí,"Moneda oficial de Arabia Saudita"
SBD,es,Dólar de las Islas Salomón,"Moneda oficial de las Islas Salomón"
SCR,es,Rupia de Seychelles,"Moneda oficial de Seychelles"
SDG,es,Libra sudanesa,"Moneda oficial de Sudán"
SEK,es,Corona sueca,"Moneda oficial de Suecia"
SGD,es,Dólar de Singapur,"Moneda oficial de Singapur"
SHP,es,Libra de Santa Elena,"Moneda oficial de Santa Elena y sus dependencias"
SLL,es,Leone de Sierra Leona,"Moneda oficial de Sierra Leona"
SOS,es,Chelín somalí,"Moneda oficial de Somalia"
SRD,es,Dólar surinamés,"Moneda oficial de Surinam"
SSP,es,Libra sursudanesa,"Moneda oficial de Sudán del Sur"
STN,es,Dobra de Santo Tomé y Príncipe,"Moneda oficial de Santo Tomé y Príncipe"
SVC,es,Colón salvadoreño,"Moneda de curso legal en El Salvador junto con el dólar estadounidense"
SYP,es,Libra siria,"Moneda oficial de Siria"
SZL,es,Lilangeni de Esuatini,"Moneda oficial de Esuatini"
THB,es,Baht tailandés,"Moneda oficial de Tailandia"
TJS,es,Somoni tayiko,"Moneda oficial de Tayikistán"
TMT,es,Manat turcomano,"Moneda oficial de Turkmenistán"
TND,es,Dinar tunecino,"Moneda oficial de Túnez"
TOP,es,Paʻanga tongano,"Moneda oficial de Tonga"
TRY,es,Lira turca,"Moneda oficial de Turquía"
TTD,es,Dólar de Trinidad y Tobago,"Moneda oficial de Trinidad y Tobago"
TWD,es,Nuevo dólar de Taiwán,"Moneda oficial de Taiwán"
TZS,es,Chelín tanzano,"Moneda oficial de Tanzania"
UAH,es,Grivna ucraniana,"Moneda oficial de Ucrania"
UGX,es,Chelín ugandés,"Moneda oficial de Uganda"
USD,es,Dólar estadounidense,"Moneda oficial de los Estados Unidos y otros países"
UYU,es,Peso uruguayo,"Moneda oficial de Uruguay"
UZS,es,Som uzbeko,"Moneda oficial de Uzbekistán"
VES,es,Bolívar soberano,"Moneda oficial de Venezuela"
VND,es,Dong vietnamita,"Moneda oficial de Vietnam"
VUV,es,Vatu de Vanuatu,"Moneda oficial de Vanuatu"
WST,es,Tala samoana,"Moneda oficial de Samoa"
XAF,es,Franco CFA de África Central,"Moneda de varios países de África Central"
XCD,es,Dólar del Caribe Oriental,"Moneda de varios países y territorios del Caribe Oriental"
XOF,es,Franco CFA de África Occidental,"Moneda de varios países de África Occidental"
XPF,es,Franco CFP,"Moneda de las colectividades francesas del Pacífico"
YER,es,Rial yemení,"Moneda oficial de Yemen"
ZAR,es,Rand sudafricano,"Moneda oficial de Sudáfrica"
ZMW,es,Kwacha zambiano,"Moneda oficial de Zambia"
ZWL,es,Dólar zimbabuense,"Moneda oficial de Zimbabue"
AED,de,VAE-Dirham,"Offizielle Währung der Vereinigten Arabischen Emirate"
AFN,de,Afghanischer Afghani,"Offizielle Währung von Afghanistan"
ALL,de,Albanischer Lek,"Offizielle Währung von Albanien"
AMD,de,Armenischer Dram,"Offizielle Währung von Armenien"
ANG,de,Niederländischer Antillen-Gulden,"Offizielle Währung von Curaçao und Sint Maarten"
AOA,de,Angolanischer Kwanza,"Offizielle Währung von Angola"
ARS,de,Argentinischer Peso,"Offizielle Währung von Argentinien"
AUD,de,Australischer Dollar,"Offizielle Währung von Australien und seinen Territorien"
AWG,de,Aruba-Florin,"Offizielle Währung von Aruba"
AZN,de,Aserbaidschan-Manat,"Offizielle Währung von Aserbaidschan"
BAM,de,Bosnien und Herzegowina Konvertible Mark,"Offizielle Währung von Bosnien und Herzegowina"
BBD,de,Barbados-Dollar,"Offizielle Währung von Barbados"
BDT,de,Bangladesch-Taka,"Offizielle Währung von Bangladesch"
BGN,de,Bulgarischer Lew,"Offizielle Währung von Bulgarien"
BHD,de,Bahrain-Dinar,"Offizielle Währung von Bahrain"
BIF,de,Burundi-Franc,"Offizielle Währung von Burundi"
BMD,de,Bermuda-Dollar,"Offizielle Währung von Bermuda"
BND,de,Brunei-Dollar,"Offizielle Währung von Brunei"
BOB,de,Bolivianischer Boliviano,"Offizielle Währung von Bolivien"
BRL,de,Brasilianischer Real,"Offizielle Währung von Brasilien"
BSD,de,Bahama-Dollar,"Offizielle Währung der Bahamas"
BTN,de,Bhutanischer Ngultrum,"Offizielle Währung von Bhutan"
BWP,de,Botswanischer Pula,"Offizielle Währung von Botswana"
BYN,de,Weißrussischer Rubel,"Offizielle Währung von Belarus"
BZD,de,Belize-Dollar,"Offizielle Währung von Belize"
CAD,de,Kanadischer Dollar,"Offizielle Währung von Kanada"
CDF,de,Kongo-Franc,"Offizielle Währung der Demokratischen Republik Kongo"
CHF,de,Schweizer Franken,"Offizielle Währung der Schweiz und Liechtensteins"
CLP,de,Chilenischer Peso,"Offizielle Währung von Chile"
CNY,de,Chinesischer Yuan,"Offizielle Währung der Volksrepublik China"
COP,de,Kolumbianischer Peso,"Offizielle Währung von Kolumbien"
CRC,de,Costa-Rica-Colón,"Offizielle Währung von Costa Rica"
CUP,de,Kubanischer Peso,"Offizielle Währung von Kuba"
CVE,de,Kap-Verde-Escudo,"Offizielle Währung von Kap Verde"
CZK,de,Tschechische Krone,"Offizielle Währung der Tschechischen Republik"
DJF,de,Dschibuti-Franc,"Offizielle Währung von Dschibuti"
DKK,de,Dänische Krone,"Offizielle Währung von Dänemark, Grönland und den Färöer-Inseln"
DOP,de,Dominikanischer Peso,"Offizielle Währung der Dominikanischen Republik"
DZD,de,Algerischer Dinar,"Offizielle Währung von Algerien"
EGP,de,Ägyptisches Pfund,"Offizielle Währung von Ägypten"
ERN,de,Eritreischer Nakfa,"Offizielle Währung von Eritrea"
ETB,de,Äthiopischer Birr,"Offizielle Währung von Äthiopien"
EUR,de,Euro,"Offizielle Währung der Eurozone"
FJD,de,Fidschi-Dollar,"Offizielle Währung von Fidschi"
FKP,de,Falkland-Pfund,"Offizielle Währung der Falklandinseln"
GBP,de,Britisches Pfund Sterling,"Offizielle Währung des Vereinigten Königreichs und seiner Territorien"
GEL,de,Georgischer Lari,"Offizielle Währung von Georgien"
GHS,de,Ghanaischer Cedi,"Offizielle Währung von Ghana"
GIP,de,Gibraltar-Pfund,"Offizielle Währung von Gibraltar"
GMD,de,Gambischer Dalasi,"Offizielle Währung von Gambia"
GNF,de,Guinea-Franc,"Offizielle Währung von Guinea"
GTQ,de,Guatemaltekischer Quetzal,"Offizielle Währung von Guatemala"
GYD,de,Guyana-Dollar,"Offizielle Währung von Guyana"
HKD,de,Hongkong-Dollar,"Offizielle Währung von Hongkong"
HNL,de,Honduranischer Lempira,"Offizielle Währung von Honduras"
HRK,de,Kroatische Kuna,"Offizielle Währung von Kroatien"
HTG,de,Haitianische Gourde,"Offizielle Währung von Haiti"
HUF,de,Ungarischer Forint,"Offizielle Währung von Ungarn"
IDR,de,Indonesische Rupiah,"Offizielle Währung von Indonesien"
ILS,de,Israelischer Neuer Schekel,"Offizielle Währung von Israel"
INR,de,Indische Rupie,"Offizielle Währung von Indien"
IQD,de,Irakischer Dinar,"Offizielle Währung des Irak"
IRR,de,Iranischer Rial,"Offizielle Währung des Iran"
ISK,de,Isländische Krone,"Offizielle Währung von Island"
JMD,de,Jamaika-Dollar,"Offizielle Währung von Jamaika"
JOD,de,Jordanischer Dinar,"Offizielle Währung von Jordanien"
JPY,de,Japanischer Yen,"Offizielle Währung von Japan"
KES,de,Kenia-Schilling,"Offizielle Währung von Kenia"
KGS,de,Kirgisischer Som,"Offizielle Währung von Kirgisistan"
KHR,de,Kambodschanischer Riel,"Offizielle Währung von Kambodscha"
KMF,de,Komoren-Franc,"Offizielle Währung der Komoren"
KPW,de,Nordkoreanischer Won,"Offizielle Währung von Nordkorea"
KRW,de,Südkoreanischer Won,"Offizielle Währung von Südkorea"
KWD,de,Kuwait-Dinar,"Offizielle Währung von Kuwait"
KYD,de,Kaiman-Dollar,"Offizielle Währung der Kaimaninseln"
KZT,de,Kasachischer Tenge,"Offizielle Währung von Kasachstan"
LAK,de,Laotischer Kip,"Offizielle Währung von Laos"
LBP,de,Libanesisches Pfund,"Offizielle Währung des Libanon"
LKR,de,Sri-Lanka-Rupie,"Offizielle Währung von Sri Lanka"
LRD,de,Liberianischer Dollar,"Offizielle Währung von Liberia"
LSL,de,Lesothischer Loti,"Offizielle Währung von Lesotho"
LYD,de,Libyscher Dinar,"Offizielle Währung von Libyen"
MAD,de,Marokkanischer Dirham,"Offizielle Währung von Marokko"
MDL,de,Moldauischer Leu,"Offizielle Währung von Moldau"
MGA,de,Madagassischer Ariary,"Offizielle Währung von Madagaskar"
MKD,de,Mazedonischer Denar,"Offizielle Währung von Nordmazedonien"
MMK,de,Myanmarischer Kyat,"Offizielle Währung von Myanmar"
MNT,de,Mongolischer Tögrög,"Offizielle Währung der Mongolei"
MOP,de,Macau-Pataca,"Offizielle Währung von Macau"
MRU,de,Mauretanischer Ouguiya,"Offizielle Währung von Mauretanien"
MUR,de,Mauritius-Rupie,"Offizielle Währung von Mauritius"
MVR,de,Malediven-Rufiyaa,"Offizielle Währung der Malediven"
MWK,de,Malawi-Kwacha,"Offizielle Währung von Malawi"
MXN,de,Mexikanischer Peso,"Offizielle Währung von Mexiko"
MYR,de,Malaysischer Ringgit,"Offizielle Währung von Malaysia"
MZN,de,Mosambikanischer Metical,"Offizielle Währung von Mosambik"
NAD,de,Namibia-Dollar,"Offizielle Währung von Namibia"
NGN,de,Nigerianischer Naira,"Offizielle Währung von Nigeria"
NIO,de,Nicaraguanischer Córdoba,"Offizielle Währung von Nicaragua"
NOK,de,Norwegische Krone,"Offizielle Währung von Norwegen"
NPR,de,Nepalesische Rupie,"Offizielle Währung von Nepal"
NZD,de,Neuseeland-Dollar,"Offizielle Währung von Neuseeland und seinen Territorien"
OMR,de,Omanischer Rial,"Offizielle Währung von Oman"
PAB,de,Panamaischer Balboa,"Offizielle Währung von Panama"
PEN,de,Peruanischer Sol,"Offizielle Währung von Peru"
PGK,de,Papua-Neuguineischer Kina,"Offizielle Währung von Papua-Neuguinea"
PHP,de,Philippinischer Peso,"Offizielle Währung der Philippinen"
PKR,de,Pakistanische Rupie,"Offizielle Währung von Pakistan"
PLN,de,Polnischer Złoty,"Offizielle Währung von Polen"
PYG,de,Paraguayischer Guaraní,"Offizielle Währung von Paraguay"
QAR,de,Katar-Riyal,"Offizielle Währung von Katar"
RON,de,Rumänischer Leu,"Offizielle Währung von Rumänien"
RSD,de,Serbischer Dinar,"Offizielle Währung von Serbien"
RUB,de,Russischer Rubel,"Offizielle Währung von Russland"
RWF,de,Ruanda-Franc,"Offizielle Währung von Ruanda"
SAR,de,Saudi-Rial,"Offizielle Währung von Saudi-Arabien"
SBD,de,Salomonen-Dollar,"Offizielle Währung der Salomonen"
SCR,de,Seychellen-Rupie,"Offizielle Währung der Seychellen"
SDG,de,Sudanesisches Pfund,"Offizielle Währung des Sudan"
SEK,de,Schwedische Krone,"Offizielle Währung von Schweden"
SGD,de,Singapur-Dollar,"Offizielle Währung von Singapur"
SHP,de,St.-Helena-Pfund,"Offizielle Währung von St. Helena und seinen abhängigen Gebieten"
SLL,de,Sierra-leonischer Leone,"Offizielle Währung von Sierra Leone"
SOS,de,Somalia-Schilling,"Offizielle Währung von Somalia"
SRD,de,Surinamischer Dollar,"Offizielle Währung von Suriname"
SSP,de,Südsudanesisches Pfund,"Offizielle Währung des Südsudan"
STN,de,São-Tomé-und-Príncipe-Dobra,"Offizielle Währung von São Tomé und Príncipe"
SVC,de,El-Salvador-Colón,"Gesetzliches Zahlungsmittel in El Salvador neben dem US-Dollar"
SYP,de,Syrisches Pfund,"Offizielle Währung von Syrien"
SZL,de,Swasiländischer Lilangeni,"Offizielle Währung von Eswatini"
THB,de,Thailändischer Baht,"Offizielle Währung von Thailand"
TJS,de,Tadschikischer Somoni,"Offizielle Währung von Tadschikistan"
TMT,de,Turkmenistan-Manat,"Offizielle Währung von Turkmenistan"
TND,de,Tunesischer Dinar,"Offizielle Währung von Tunesien"
TOP,de,Tongaischer Paʻanga,"Offizielle Währung von Tonga"
TRY,de,Türkische Lira,"Offizielle Währung der Türkei"
TTD,de,Trinidad-und-Tobago-Dollar,"Offizielle Währung von Trinidad und Tobago"
TWD,de,Neuer Taiwan-Dollar,"Offizielle Währung von Taiwan"
TZS,de,Tansania-Schilling,"Offizielle Währung von Tansania"
UAH,de,Ukrainische Hrywnja,"Offizielle Währung der Ukraine"
UGX,de,Uganda-Schilling,"Offizielle Währung von Uganda"
USD,de,US-Dollar,"Offizielle Währung der Vereinigten Staaten und anderer Länder"
UYU,de,Uruguayischer Peso,"Offizielle Währung von Uruguay"
UZS,de,Usbekischer Soʻm,"Offizielle Währung von Usbekistan"
VES,de,Venezolanischer Bolívar Soberano,"Offizielle Währung von Venezuela"
VND,de,Vietnamesischer Dong,"Offizielle Währung von Vietnam"
VUV,de,Vanuatu-Vatu,"Offizielle Währung von Vanuatu"
WST,de,Samoanischer Tala,"Offizielle Währung von Samoa"
XAF,de,Zentralafrikanischer CFA-Franc,"Währung mehrerer zentralafrikanischer Länder"
XCD,de,Ostkaribischer Dollar,"Währung mehrerer ostkaribischer Länder und Territorien"
XOF,de,Westafrikanischer CFA-Franc,"Währung mehrerer westafrikanischer Länder"
XPF,de,CFP-Franc,"Währung der französischen Pazifikkollektive"
YER,de,Jemen-Rial,"Offizielle Währung des Jemen"
ZAR,de,Südafrikanischer Rand,"Offizielle Währung von Südafrika"
ZMW,de,Sambischer Kwacha,"Offizielle Währung von Sambia"
ZWL,de,Simbabwe-Dollar,"Offizielle Währung von Simbabwe"
